"","domain","type","language","in_list_chatgpt","in_list_hbi","in_list_scharkow","in_list_stier","in_list_w3news"
"37","aerotelegraph.com","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"38","aerztezeitung.de","legacy press","de",TRUE,TRUE,FALSE,FALSE,TRUE
"39","affaritaliani.it","digital-born news outlet","en",FALSE,FALSE,FALSE,TRUE,FALSE
"40","agoravox.fr","digital-born news outlet","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"41","aichacher-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,FALSE
"42","aichacher-zeitung.de/vorort","legacy press","de",FALSE,FALSE,FALSE,FALSE,TRUE
"43","aktiv-online.de","legacy press","de",FALSE,FALSE,FALSE,FALSE,TRUE
"44","alertadigital.com","hyperpartisan news","es",FALSE,FALSE,FALSE,TRUE,FALSE
"45","alexander-wallasch.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"46","alfelder-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"47","aljazeera.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"48","aljazeera.net","commercial broadcaster","ar",FALSE,FALSE,FALSE,FALSE,FALSE
"49","all-in.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,TRUE
"50","alles-schallundrauch.blogspot.com","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"51","allgaeuer-anzeigeblatt.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"52","allgaeuer-zeitung.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"53","allgemeine-zeitung.de","tabloid newspaper","de",TRUE,TRUE,TRUE,FALSE,FALSE
"54","alpenschau.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"55","altermannblog.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"56","altkreisblitz.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"57","ammerseekurier.de","legacy press",NA,FALSE,TRUE,FALSE,FALSE,FALSE
"58","anderweltonline.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"59","andreas-unterberger.at","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"60","anonymousnews.org","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"61","anonymousnews.ru","hyperpartisan news","de",FALSE,FALSE,FALSE,TRUE,FALSE
"62","ansa.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"63","ansage.org","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"64","antaios.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"65","antena3.com","commercial broadcaster","es",FALSE,FALSE,FALSE,TRUE,FALSE
"66","antenne.de","commercial broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"67","antenne1.de","commercial broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"68","antennethueringen.de","commercial broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"69","anti-spiegel.ru","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"70","antilobby.wordpress.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"71","aol.co.uk/news","portal",NA,NA,NA,NA,NA,NA
"72","aol.com","tabloid newspaper","de",TRUE,FALSE,FALSE,FALSE,FALSE
"73","aol.com/article/news","portal",NA,NA,NA,NA,NA,NA
"74","aol.com/news","portal",NA,NA,NA,NA,NA,NA
"75","aol.de/nachrichten","portal",NA,NA,NA,NA,NA,NA
"76","apnews.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"77","apolut.net","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"78","app.handelsblatt.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"79","ara.cat","legacy press","ca",FALSE,FALSE,FALSE,TRUE,FALSE
"80","arcamax.com","digital-born news outlet","en",FALSE,FALSE,FALSE,TRUE,FALSE
"81","ard-text.de","public broadcaster","de",FALSE,FALSE,FALSE,TRUE,FALSE
"82","ard.de","public broadcaster","de",FALSE,FALSE,TRUE,TRUE,FALSE
"83","ardmediathek.de","public broadcaster","de",FALSE,FALSE,FALSE,TRUE,FALSE
"84","ardtext.de","public broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"85","arte.tv","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"86","atresplayer.com","commercial broadcaster","es",FALSE,FALSE,FALSE,TRUE,FALSE
"87","augsburger-allgemeine.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"88","avvenire.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"89","az-muenchen.de","tabloid newspaper","de",FALSE,FALSE,TRUE,FALSE,FALSE
"90","az-online.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"91","azcentral.com","legacy press","en",TRUE,FALSE,FALSE,FALSE,FALSE
"92","azonline.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,TRUE
"93","babenhaeuser-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"94","bad-sodener-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"95","baden-tv.com","commercial broadcaster","de",FALSE,FALSE,FALSE,FALSE,FALSE
"96","badische-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"97","badisches-tagblatt.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"98","baltimoresun.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"99","bams.de","tabloid newspaper","de",FALSE,FALSE,FALSE,TRUE,FALSE
"100","bayerische-staatszeitung.de","legacy press","de",TRUE,TRUE,FALSE,FALSE,FALSE
"101","bayern3.de","public broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"102","bayernistfrei.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"103","bayreuther-tagblatt.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"104","bbc.co.uk","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"105","bbc.com","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"106","bbglive.de","digital-born news outlet","de",FALSE,FALSE,FALSE,FALSE,FALSE
"107","bbv-net.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,TRUE
"108","bellingcat.com","digital-born news outlet","en",TRUE,FALSE,FALSE,FALSE,FALSE
"109","belltower.news","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"110","belta.by","public broadcaster","ru",TRUE,FALSE,FALSE,FALSE,FALSE
"111","bento.de","digital-born news outlet","de",FALSE,FALSE,TRUE,TRUE,FALSE
"112","beobachter-online.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"113","berchtesgadener-anzeiger.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"114","bergamopost.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"115","bergedorfer-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,TRUE,FALSE
"116","berliner-abendblatt.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"117","berliner-kurier.de","tabloid newspaper","de",FALSE,TRUE,TRUE,TRUE,TRUE
"118","berliner-lokalnachrichten.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"119","berliner-rundfunk.de","commercial broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"120","berliner-woche.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"121","berliner-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"122","berlinertageszeitung.de","legacy press","de",FALSE,FALSE,FALSE,FALSE,TRUE
"123","bewusst.tv","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"124","bfmtv.com","commercial broadcaster","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"125","bgland24.de","digital-born news outlet","de",FALSE,FALSE,FALSE,TRUE,FALSE
"126","bhaskar.com","legacy press","hi",TRUE,FALSE,FALSE,FALSE,FALSE
"127","bietigheimerzeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"128","bild.de","tabloid newspaper","de",FALSE,TRUE,TRUE,TRUE,FALSE
"129","bkz-online.de","legacy press","de",FALSE,FALSE,TRUE,TRUE,FALSE
"130","bkz.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"131","blackout-news.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"132","blaetter.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"133","blauenarzisse.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"134","blic.rs","tabloid newspaper","bs",TRUE,FALSE,FALSE,FALSE,FALSE
"135","blick-aktuell.de","legacy press",NA,TRUE,FALSE,FALSE,FALSE,FALSE
"136","blick.ch","tabloid newspaper","de",FALSE,FALSE,FALSE,TRUE,FALSE
"137","blick.de","tabloid newspaper","de",FALSE,FALSE,FALSE,TRUE,FALSE
"138","blikk.hu","tabloid newspaper","hu",TRUE,FALSE,FALSE,FALSE,FALSE
"139","blitzquotidiano.it","digital-born news outlet","it",FALSE,FALSE,FALSE,TRUE,FALSE
"140","bloomberg.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"141","bnn.de","legacy press","de",FALSE,TRUE,FALSE,TRUE,FALSE
"142","bo.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"143","bocholt-news.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"144","boehme-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"145","boerse-online.de","digital-born news outlet","de",FALSE,FALSE,FALSE,FALSE,TRUE
"146","boersen-zeitung.de","legacy press","en",FALSE,FALSE,FALSE,FALSE,TRUE
"147","boersennews.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"148","borkenerzeitung.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,TRUE
"149","borkumer-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"150","boston25news.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"151","bostonglobe.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"152","boyens-medien.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"153","br.de","public broadcaster","de",FALSE,FALSE,TRUE,TRUE,FALSE
"154","br24.de","public broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"155","brandeins.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"156","braunschweiger-zeitung.de","legacy press","de",TRUE,TRUE,TRUE,FALSE,TRUE
"157","breaking-news-saarland.de","digital-born news outlet","de",FALSE,FALSE,FALSE,FALSE,FALSE
"158","breaknotizie.com","digital-born news outlet","ja",FALSE,FALSE,FALSE,TRUE,FALSE
"159","breitbart.com","hyperpartisan news","en",FALSE,FALSE,FALSE,TRUE,FALSE
"160","bremeneins.de","public broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"161","breuerpresse.de","legacy press","ja",FALSE,TRUE,FALSE,FALSE,FALSE
"162","brf.be","public broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"163","brigitte.de","tabloid newspaper","de",TRUE,FALSE,FALSE,FALSE,FALSE
"164","brv-zeitung.de","legacy press","en",FALSE,TRUE,FALSE,FALSE,TRUE
"165","bsaktuell.de","digital-born news outlet",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"166","buerstaedter-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,FALSE
"167","bunshun.jp","legacy press","ja",TRUE,FALSE,FALSE,FALSE,FALSE
"168","businessinsider.com","digital-born news outlet","de",FALSE,FALSE,FALSE,TRUE,FALSE
"169","businessinsider.de","digital-born news outlet","de",FALSE,FALSE,TRUE,TRUE,FALSE
"170","butenunbinnen.de","public broadcaster","de",FALSE,FALSE,TRUE,FALSE,FALSE
"171","butzbacher-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"172","buzzfeed.com","digital-born news outlet","en",FALSE,FALSE,TRUE,TRUE,FALSE
"173","buzzfeed.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"174","buzzfeednews.com","digital-born news outlet","pt",FALSE,FALSE,FALSE,TRUE,FALSE
"175","bw24.de","tabloid newspaper","de",TRUE,FALSE,FALSE,FALSE,FALSE
"176","bz-berlin.de","tabloid newspaper","de",FALSE,TRUE,TRUE,TRUE,TRUE
"177","cadenaser.com","commercial broadcaster","es",FALSE,FALSE,FALSE,TRUE,FALSE
"178","caffeinamagazine.it","digital-born news outlet","it",FALSE,FALSE,FALSE,TRUE,FALSE
"179","campact.de","hyperpartisan news","de",FALSE,FALSE,FALSE,TRUE,FALSE
"180","canal-plus.com","commercial broadcaster",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"181","canal.fr","commercial broadcaster",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"182","canarias7.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"183","cancan.ro","tabloid newspaper","ro",TRUE,FALSE,FALSE,FALSE,FALSE
"184","cannstatter-zeitung.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"185","capital.fr","legacy press","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"186","casoaislado.com","hyperpartisan news","es",FALSE,FALSE,FALSE,TRUE,FALSE
"187","cataniatoday.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"188","cbc.ca","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"189","cbs.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"190","cbsloc.al","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"191","cbslocal.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"192","cbsn.ws","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"193","cbsnews.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"194","ccma.cat","public broadcaster","ca",FALSE,FALSE,FALSE,TRUE,FALSE
"195","cellesche-zeitung.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,FALSE
"196","challenges.fr","legacy press","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"197","channel4.com","public broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"198","channel7breakingreport.live","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"199","charter97.org","hyperpartisan news","ru",TRUE,FALSE,FALSE,FALSE,FALSE
"200","chicagotribune.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"201","chiemgau24.de","tabloid newspaper","de",TRUE,FALSE,FALSE,FALSE,FALSE
"202","cicero.de","legacy press","de",FALSE,FALSE,TRUE,TRUE,TRUE
"203","citynews-koeln.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"204","cnbc.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"205","cnews.fr","digital-born news outlet","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"206","cnn.com","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"207","cnn.it","commercial broadcaster","en",FALSE,FALSE,FALSE,TRUE,FALSE
"208","cnnturk.com","commercial broadcaster","tr",TRUE,FALSE,FALSE,FALSE,FALSE
"209","cnv-medien.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"210","com-magazin.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"211","come-on.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"212","compact-online.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"213","computerweekly.com","digital-born news outlet","en",TRUE,FALSE,FALSE,FALSE,FALSE
"214","conservativebuzz.com","hyperpartisan news",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"215","conservativedailypost.com","hyperpartisan news","en",FALSE,FALSE,FALSE,TRUE,FALSE
"216","conservativeinstitute.org","hyperpartisan news","en",FALSE,FALSE,FALSE,TRUE,FALSE
"217","conservo.wordpress.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"218","contra-magazin.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"219","cope.es","commercial broadcaster","es",FALSE,FALSE,FALSE,TRUE,FALSE
"220","corona-blog.net","hyperpartisan news","de",TRUE,FALSE,FALSE,FALSE,FALSE
"221","correctiv.org","digital-born news outlet","de",TRUE,FALSE,TRUE,FALSE,FALSE
"222","corriere.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"223","corriereadriatico.it","legacy press","it",FALSE,FALSE,FALSE,TRUE,FALSE
"224","courrierdelouest.fr","legacy press",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"225","courrierinternational.com","legacy press","fr",FALSE,FALSE,FALSE,TRUE,FALSE
"226","ctxt.es","digital-born news outlet","ja",FALSE,FALSE,FALSE,TRUE,FALSE
"227","cuatro.com","commercial broadcaster","es",FALSE,FALSE,FALSE,TRUE,FALSE
"228","currenttime.tv","commercial broadcaster","ru",TRUE,FALSE,FALSE,FALSE,FALSE
"229","cz.de","legacy press","de",FALSE,FALSE,FALSE,FALSE,TRUE
"230","da-imnetz.de","legacy press",NA,FALSE,TRUE,FALSE,FALSE,FALSE
"231","dailyconservative.com","hyperpartisan news","en",FALSE,FALSE,FALSE,TRUE,FALSE
"232","dailykos.com","hyperpartisan news","en",FALSE,FALSE,FALSE,TRUE,FALSE
"233","dailymail.co.uk","tabloid newspaper","en",FALSE,FALSE,FALSE,TRUE,FALSE
"234","dailyrecord.co.uk","tabloid newspaper","en",FALSE,FALSE,FALSE,TRUE,FALSE
"235","dailystar.co.uk","tabloid newspaper","en",FALSE,FALSE,FALSE,TRUE,FALSE
"236","dailywire.com","hyperpartisan news",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"237","dallasnews.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"238","danisch.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"239","das-parlament.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"240","daserste.de","public broadcaster","de",FALSE,FALSE,FALSE,TRUE,FALSE
"241","daserste.ndr.de","public broadcaster","ja",FALSE,FALSE,FALSE,TRUE,FALSE
"242","dattelner-morgenpost.de","legacy press","de",FALSE,FALSE,TRUE,FALSE,FALSE
"243","dawn.com","legacy press","en",TRUE,FALSE,FALSE,FALSE,FALSE
"244","daytondailynews.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"245","ddbnews.wordpress.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"246","de.euronews.com","commercial broadcaster","de",FALSE,FALSE,FALSE,FALSE,FALSE
"247","de.europenews.dk","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"248","de.gatestoneinstitute.org","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"249","de.nachrichten.yahoo.com","portal",NA,NA,NA,NA,NA,NA
"250","de.news-front.info","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"251","de.rt.com","hyperpartisan news",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"252","de.sott.net","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"253","de.sputniknews.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"254","de.yahoo.com","portal",NA,FALSE,FALSE,FALSE,FALSE,FALSE
"255","de.yahoo.com/nachrichten","portal",NA,NA,NA,NA,NA,NA
"256","de24live.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"257","deister-echo.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"258","dekoder.org","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"259","delmagyar.hu","legacy press","hu",TRUE,FALSE,FALSE,FALSE,FALSE
"260","democratandchronicle.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"261","denverpost.com","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"262","der-kleine-akif.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"263","der-postillon.com","digital-born news outlet","de",FALSE,FALSE,FALSE,TRUE,TRUE
"264","derbytelegraph.co.uk","legacy press","en",FALSE,FALSE,FALSE,TRUE,FALSE
"265","derpatriot.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,FALSE
"266","derstandard.at","legacy press","de",FALSE,FALSE,FALSE,TRUE,FALSE
"267","derstandard.de","legacy press","de",TRUE,FALSE,FALSE,FALSE,FALSE
"268","derwaechter.net","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"269","derwesten.de","digital-born news outlet","de",FALSE,TRUE,TRUE,TRUE,TRUE
"270","detektor.fm","commercial broadcaster","de",TRUE,FALSE,FALSE,FALSE,FALSE
"271","deutsch.rt.com","hyperpartisan news",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"272","deutsche-mittelstands-nachrichten.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"273","deutsche-stimme.de","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"274","deutsche-wirtschafts-nachrichten.de","hyperpartisan news","de",FALSE,FALSE,FALSE,TRUE,FALSE
"275","deutschland-kurier.org","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"276","deutschlandfunk.de","public broadcaster","de",FALSE,FALSE,TRUE,TRUE,FALSE
"277","deutschlandfunkkultur.de","public broadcaster","de",FALSE,FALSE,TRUE,TRUE,FALSE
"278","deutschlandfunknova.de","public broadcaster","de",TRUE,FALSE,TRUE,FALSE,FALSE
"279","deutschlandradio.de","public broadcaster","de",FALSE,FALSE,TRUE,TRUE,FALSE
"280","dewezet.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
"281","diaridegirona.cat","legacy press","ca",FALSE,FALSE,FALSE,TRUE,FALSE
"282","diaridetarragona.com","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"283","diariocordoba.com","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"284","diariodeibiza.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"285","diariodeleon.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"286","diariodemallorca.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"287","diariodenavarra.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"288","diariodesevilla.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"289","diarioinformacion.com","legacy press",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"290","diariojaen.es","legacy press",NA,FALSE,FALSE,FALSE,TRUE,FALSE
"291","diariolibre.com","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"292","diariosur.es","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"293","diariovasco.com","legacy press","es",FALSE,FALSE,FALSE,TRUE,FALSE
"294","die-glocke.de","legacy press","de",FALSE,TRUE,TRUE,FALSE,TRUE
"295","die-tagespost.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,FALSE
"296","dieharke.de","legacy press","de",FALSE,TRUE,FALSE,FALSE,TRUE
"297","diepresse.com","legacy press","de",FALSE,FALSE,FALSE,TRUE,FALSE
"298","dieunbestechlichen.com","hyperpartisan news","de",FALSE,FALSE,FALSE,FALSE,FALSE
"299","digi24.ro","commercial broadcaster","ro",TRUE,FALSE,FALSE,FALSE,FALSE
"300","digitalcourage.de","digital-born news outlet","de",TRUE,FALSE,FALSE,FALSE,FALSE
"301","digitalsevilla.com","hyperpartisan news","es",FALSE,FALSE,FALSE,TRUE,FALSE
"302","dnn.de","legacy press","de",FALSE,TRUE,TRUE,TRUE,TRUE
